track_id,artists,album_name,track_name,popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
4mzP5mHkRvGxdhdGdAH7EJ,Zack Tabudlo,Episode,Give Me Your Forever,74,0.627,0.363,-8.127,0.0291,0.279,0.0,0.0928,0.301,0.41050326249527475,acoustic
5ivF4eQBqJiVL5IAE9jRyl,Jason Mraz,Love Is a Four Letter Word,I Won't Give Up,69,0.483,0.303,-10.058,0.0429,0.694,0.0,0.115,0.139,0.5481567312591424,acoustic
4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,52,0.489,0.314,-9.245,0.0331,0.749,0.0,0.113,0.607,0.5104695692191378,acoustic
0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,0.691,0.234,-6.441,0.0285,0.777,0.0,0.12,0.209,0.3579006623605016,acoustic
4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,0.755,0.78,-6.084,0.0327,0.124,2.83e-05,0.121,0.387,0.49308876945581254,acoustic
1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,0.489,0.561,-7.933,0.0274,0.2,4.56e-05,0.179,0.238,0.3429194812879049,acoustic
6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,0.706,0.112,-18.098,0.0391,0.827,4.03e-06,0.125,0.414,0.4526157487303387,acoustic
4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,0.795,0.0841,-18.09,0.0461,0.742,1.17e-05,0.0853,0.609,0.3772126620975297,acoustic
2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,0.5345232812320234,acoustic
6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,0.717,0.32,-8.393,0.0283,0.83,0.0,0.107,0.322,0.4435432177900498,acoustic
3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,0.6202849958088852,acoustic
210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,0.678,0.351,-8.654,0.0266,0.747,0.0,0.355,0.569,0.3699357362391729,acoustic
5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,0.5805269299672928,acoustic
0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,0,0.572,0.454,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,0.5759988823693769,acoustic
3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,0,0.796,0.667,-4.831,0.0392,0.381,0.0,0.221,0.754,0.4026264319642358,acoustic
6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Mellow Adult Pop,Bella Luna,1,0.755,0.454,-9.609,0.0352,0.757,0.0,0.236,0.33,0.4933188698782111,acoustic
5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,0,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,0.5972872803773647,acoustic
0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,0,0.633,0.429,-6.784,0.0381,0.0444,0.0,0.132,0.52,0.5908362506779745,acoustic
5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,0,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,0.5972872803773647,acoustic
2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,0,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,0.5972872803773647,acoustic
3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,0,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,0.5972872803773647,acoustic
3ax0rfGb7exLtl02LL08U9,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,0,0.62,0.309,-9.209,0.0495,0.788,0.0,0.146,0.664,0.5972872803773647,acoustic
1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,0,0.593,0.455,-8.192,0.0388,0.366,0.0,0.0914,0.564,0.8300831648669527,acoustic
3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,0,0.296,0.206,-11.799,0.0412,0.782,0.000225,0.0959,0.202,0.6796180332988183,acoustic
0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,0,0.296,0.206,-11.799,0.0412,0.782,0.000225,0.0959,0.202,0.6796180332988183,acoustic
6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,0,0.296,0.206,-11.799,0.0412,0.782,0.000225,0.0959,0.202,0.6796180332988183,acoustic
62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,0,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,0.3503361109741466,acoustic
3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,rainy day indie,Throwing Good After Bad,0,0.501,0.0952,-12.931,0.054,0.963,1.58e-05,0.0915,0.316,0.5670989267458869,acoustic
1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,Coffee Moment,This Time Tomorrow,0,0.606,0.326,-10.031,0.0294,0.841,0.0,0.139,0.414,0.3764853804053055,acoustic
0adVktNVJXPZfhQe6B1NO5,KT Tunstall,sadsadchristmas,Lonely This Christmas,0,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,0.3503361109741466,acoustic
6sp6Vx3sv2l5qxPfbQkcyt,Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,0,0.474,0.519,-5.291,0.0253,0.281,0.0,0.107,0.326,0.623867988100521,acoustic
1WFVfVjCtbmdIv7j3Fa9iy,Brandi Carlile,Mellow Adult Pop,When You're Wrong,0,0.568,0.301,-10.163,0.0373,0.796,3.37e-06,0.118,0.142,0.3617055372023076,acoustic
0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",0,0.476,0.666,-3.438,0.0446,0.314,0.0,0.342,0.498,0.6087594300083822,acoustic
7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,0,0.568,0.686,-6.635,0.033,0.15,1.81e-06,0.0881,0.725,0.7070451818615123,acoustic
72xTsTouZ5nBmASX8k1XCW,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,46,0.596,0.2,-10.424,0.0305,0.91,0.000183,0.0884,0.308,0.44332544417599395,acoustic
3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,Documentary,透明だった世界,61,0.373,0.914,-4.185,0.0565,0.076,0.0,0.669,0.56,0.6911641437798925,acoustic
2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Black Bear,Pieces,60,0.494,0.652,-5.863,0.0314,0.0754,0.00256,0.125,0.298,0.5629982085038542,acoustic
5JDcQAztvZTIkrWoZihgvC,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,0.447,0.393,-8.65,0.038,0.785,0.0,0.28,0.564,0.3005234784609569,acoustic
2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,0.576,0.331,-9.389,0.0306,0.894,3.44e-05,0.129,0.407,0.6123136597472183,acoustic
6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,Black Bear,The Enemy,62,0.536,0.89,-5.222,0.0375,0.078,0.0202,0.131,0.273,0.5011833736009073,acoustic
7lLKxcNeJtDTWVRKHovLEC,Aron Wright,Build It Better,Build It Better,51,0.526,0.333,-13.02,0.0314,0.91,0.168,0.111,0.159,0.3901475929852242,acoustic
25UzeaV47eDT44Fovve6xQ,Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,0,0.501,0.381,-9.448,0.036,0.687,0.00133,0.119,0.502,0.32902305934947323,acoustic
4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Little Voice,Gravity,67,0.27,0.275,-10.357,0.0356,0.834,0.0,0.146,0.231,0.6942622816100456,acoustic
2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,What's Left of You,What's Left of You,57,0.731,0.507,-6.477,0.046,0.572,0.0,0.0912,0.265,0.4847270844632907,acoustic
08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,75,0.375,0.457,-7.018,0.0315,0.868,0.0145,0.191,0.415,0.7184022812813307,acoustic
6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,The Daylight EP,Sky's Still Blue,62,0.43,0.791,-5.419,0.0302,0.0726,0.0193,0.11,0.217,0.7061781963414033,acoustic
7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,0.616,0.282,-15.317,0.0331,0.983,0.833,0.13,0.435,0.3970793682099831,acoustic
6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,0.705,0.347,-8.249,0.0301,0.674,0.0,0.12,0.36,0.32894909849941656,acoustic
0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Covers,Always Be My Baby,62,0.582,0.255,-10.254,0.0306,0.772,0.0,0.0889,0.285,0.574774419407327,acoustic
3e5yu9MkIvQx17mm7LF6KY,Canyon City,Midnight Waves,Alone with You,58,0.549,0.274,-12.565,0.0379,0.798,6.63e-06,0.103,0.207,0.3560968394063409,acoustic
6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,Making All Things New,65,0.787,0.355,-11.429,0.0288,0.896,0.0201,0.111,0.48,0.41080321483161575,acoustic
2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67,0.397,0.303,-7.508,0.0435,0.381,0.0,0.101,0.172,0.33302927206087796,acoustic
7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,0.548,0.42,-7.842,0.0277,0.198,4.46e-06,0.0899,0.196,0.525993129858817,acoustic
0ZwdH0m32I8odedwvspYTh,Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),44,0.787,0.403,-11.989,0.033,0.603,0.00857,0.131,0.264,0.4850270367996318,acoustic
16dkWKIlBsfYTISCVuDs0w,Ron Pope,Whatever It Takes,A Drop In the Ocean,55,0.484,0.573,-6.183,0.0298,0.0882,1.14e-06,0.15,0.346,0.5751113521686965,acoustic
3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),70,0.382,0.416,-9.303,0.0302,0.0733,0.0,0.0719,0.125,0.41947717896882136,acoustic
3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,Dive Deep,When the End Comes,57,0.541,0.575,-9.463,0.0491,0.677,0.215,0.102,0.428,0.377939943789754,acoustic
2E9viCx0hJKNKNThd2MdGQ,Bailey Jehl,You're Still The One,You're Still The One,56,0.607,0.473,-8.555,0.034,0.712,0.0,0.66,0.54,0.4918314350048485,acoustic
0Zf1BPkkFAWGtVHeBwHHz4,Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56,0.417,0.595,-7.84,0.0396,0.158,0.000269,0.101,0.117,0.6078267015104449,acoustic
38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,0.572,0.454,-10.286,0.0258,0.477,1.37e-05,0.0974,0.515,0.5759988823693769,acoustic
2SkJKMfjpYsNv0KWOxiegX,A Great Big World,When the Morning Comes,Kaleidoscope,62,0.709,0.913,-5.148,0.0748,0.0182,0.0,0.167,0.519,0.4438637148069622,acoustic
4qCbMMMuEB56kHd4zPE6GD,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,45,0.537,0.342,-13.553,0.0273,0.645,0.266,0.0687,0.253,0.44884374537744687,acoustic
11TK5KLtLZUdKr1C549bAw,Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64,0.602,0.336,-11.106,0.0369,0.883,0.0017,0.143,0.335,0.3734776391696662,acoustic
7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Know.,Have It All,65,0.643,0.638,-4.947,0.0407,0.204,0.0,0.0707,0.6,0.3369368703055405,acoustic
2kMrCPZ0o5gErBPLCRgoli,Gabrielle Aplin,Mellow Adult Pop,Heavy Heart,0,0.451,0.7,-6.597,0.0431,0.455,0.00233,0.405,0.37,0.6165664086254787,acoustic
5IjTZ1g8KrIuV97N3OQZ0V,Gabrielle Aplin,Break Up Songs,The House We Never Built,0,0.546,0.391,-10.786,0.063,0.784,2.72e-06,0.0552,0.202,0.5738909981427609,acoustic
3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68,0.561,0.327,-10.835,0.0327,0.902,0.000469,0.111,0.298,0.6650641815821048,acoustic
0wf17wsLRwnnfh241GkeH5,Gabrielle Aplin,u don't deserve me,Please Don't Say You Love Me,0,0.479,0.541,-9.862,0.0543,0.74,0.0,0.108,0.3,0.3533438522097858,acoustic
3322ArxAq7wCSZI4fF77Q0,Gabrielle Aplin,Coffee Moment,Please Don't Say You Love Me,0,0.479,0.541,-9.862,0.0543,0.74,0.0,0.108,0.3,0.3533438522097858,acoustic
4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61,0.436,0.4,-11.485,0.0272,0.904,0.00105,0.125,0.351,0.4139095705339973,acoustic
6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,The Blessed Unrest,Brave,70,0.551,0.836,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,0.760412044113538,acoustic
2z2JKNU24UEngb4joR9p8f,KT Tunstall,Slow Christmas Songs 2022,Lonely This Christmas,0,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,0.3503361109741466,acoustic
2nef44o0sjJDKB1ta4S0ub,KT Tunstall,Lonely Christmas 2022,Lonely This Christmas,0,0.409,0.153,-10.74,0.0306,0.939,2.56e-05,0.108,0.18,0.3503361109741466,acoustic
0qJGlogD7AyMLAJfQ42aI2,Five For Fighting,Bookmarks,Heaven Knows,62,0.6,0.845,-7.076,0.0311,0.048,0.0,0.24,0.392,0.4011595417714445,acoustic
04JS6OitE9VGsIS3S94Osg,The Civil Wars,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
5OGpsZeJRZ3t3MZioawcZW,The Civil Wars,Alternative Christmas 2022,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
3Vnes7v746dYzBn0FJTZ1W,KT Tunstall,Alternative Christmas 2022,Fairytale Of New York,0,0.447,0.555,-6.018,0.0349,0.218,3.46e-06,0.124,0.33,0.4843942606380356,acoustic
30cYWLpVdBZVLb1cYdmcTT,The Civil Wars,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
7sUqJ51FGSi3n7x4pYjY3v,The Civil Wars,Lonely Christmas 2022,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
15BFn2VmEtonsXfNL1lUmy,The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
0WOFJR54wyTwLB11jcBDb1,The Civil Wars,sadsadchristmas,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
1uDCw6LVMOmbZ6zRliNcNX,The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,0,0.492,0.145,-14.504,0.0422,0.872,9.68e-06,0.107,0.218,0.370124747300429,acoustic
7DYsBLdOqz0z14tYWMt2Tn,KT Tunstall,Del gusto de mamá,Hold On,0,0.661,0.937,-5.157,0.0979,0.322,1.04e-06,0.19,0.805,0.4336940979241655,acoustic
7cPuE0M35EajWPRO3nRcH8,KT Tunstall,OO's Music Grandi Successi,Suddenly I See,0,0.603,0.78,-5.531,0.0438,0.139,0.0,0.164,0.693,0.41294397054714593,acoustic
0U32q8CZRRo7xCzyiaZw5f,Motohiro Hata,言ノ葉,Rain,58,0.626,0.655,-6.69,0.0263,0.503,0.0,0.13,0.542,0.37803444932038194,acoustic
4kQXMVjoZ9yMibLZq5Aqi5,Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,50,0.794,0.38,-8.769,0.0477,0.762,0.0,0.262,0.617,0.47248656377890635,acoustic
3us8sod4dLbM9FiMiPiEY8,Andrew Belle,Black Bear (Hushed),Pieces (Hushed),59,0.52,0.279,-10.739,0.0547,0.894,0.000105,0.103,0.0951,0.28615452886938514,acoustic
1PR5pyPiOEEQ02oJYq402x,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57,0.545,0.658,-7.174,0.0474,0.496,0.0,0.105,0.683,0.31626892165080617,acoustic
068qo0w1Ki0cjnFYOUhAm2,Boyce Avenue,Stand by Me,Stand by Me,60,0.728,0.266,-7.322,0.0293,0.872,1.03e-05,0.114,0.307,0.4733042420656443,acoustic
2RFt6ZWQbr9mPhsft9u9eX,Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61,0.66,0.407,-8.381,0.0571,0.236,0.0,0.109,0.257,0.550022188255017,acoustic
59pUIlXjQupbiYwt40uUTi,Mone Kamishiraishi,chouchou,なんでもないや - movie ver.,49,0.357,0.161,-10.667,0.0388,0.971,1.4e-05,0.358,0.325,0.3428866097989908,acoustic
0VhZ5JYfqPojSYeGWnk4dL,John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,55,0.479,0.154,-11.282,0.0352,0.915,0.0,0.0974,0.36,0.6048641585720624,acoustic
0ltIx8PLjtWoS9zn9PqsZW,Kitri,Hikare Inochi,Hikare Inochi,51,0.592,0.769,-5.268,0.0311,0.319,4.66e-06,0.137,0.385,0.41924707854642274,acoustic
7ACW42whcdOiUxiNVu7ltx,Tyler Ward,Songs From Nashville,How To Lose a Girl,46,0.7,0.454,-10.39,0.0388,0.55,0.0022,0.121,0.34,0.3287600874381605,acoustic
4qTHoIp62ngNDpUJwW3hZ7,Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57,0.402,0.197,-10.775,0.0295,0.858,1.05e-06,0.114,0.148,0.41107440461515704,acoustic
4VbDTk82rqWqVgoQC93CkC,Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),58,0.507,0.378,-9.019,0.0332,0.852,0.000212,0.0937,0.085,0.5582400604835397,acoustic
1pG5nd6gmfbMwUfT5shDQe,Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),51,0.619,0.226,-13.453,0.0641,0.959,4.42e-05,0.106,0.188,0.5134526568380915,acoustic
2WZyfujzMweFLnozyUJBkW,Augustana,All The Stars and Boulevards,Boston,63,0.404,0.571,-5.069,0.0303,0.182,2.08e-05,0.129,0.29,0.604054698157553,acoustic
6gijbGNDNNJgT60Aj7UCyc,Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,53,0.418,0.79,-6.599,0.0506,0.0284,9.96e-06,0.117,0.197,0.7230700327071314,acoustic
5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,0.633,0.299,-7.798,0.0353,0.833,0.0,0.109,0.341,0.6062694147231399,acoustic
08OjvLnGR3M0HUhcePeMNO,Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),47,0.565,0.0392,-28.276,0.045,0.835,0.183,0.117,0.601,0.5152564797922522,acoustic
65VhbQdqvozUntjnlFkFbZ,Kina Grannis,You Are My Sunshine,You Are My Sunshine,60,0.664,0.0755,-19.836,0.0389,0.91,0.0,0.164,0.575,0.3287313248853607,acoustic
05pKAafT85jeeNhZ6kq7HT,Jason Mraz,I Won't Give Up,I Won't Give Up,66,0.585,0.303,-10.058,0.0398,0.694,0.0,0.115,0.142,0.5617038936278619,acoustic
3PG6V5yuFfo4APiovOQoRv,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,67,0.65,0.271,-11.081,0.0314,0.794,6.9e-05,0.196,0.21,0.32064493861249443,acoustic
5O9R57EozcpLKGQBzadPVy,Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,43,0.534,0.213,-8.64,0.0283,0.884,0.0,0.107,0.0998,0.4042576796015976,acoustic
6ta5yavnnEfCE4faU0jebM,Catherine Feeny,Hurricane Glass,Mr Blue,54,0.456,0.386,-10.293,0.032,0.835,0.108,0.389,0.612,0.6809863090248673,acoustic
7BRCa8MPiyuvr2VU3O9W0F,Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60,0.409,0.234,-13.711,0.0323,0.338,5e-05,0.0895,0.145,0.5745607547293854,acoustic
5ZhaKUsY68U0lgREFWfoxg,Ross Copperman,Holding On And Letting Go - Single,Holding On And Letting Go,49,0.502,0.53,-9.573,0.0266,0.805,0.000738,0.0728,0.102,0.3206860279736371,acoustic
4zcMBfbQZvBSHQBGDd6gsN,JJ Heller,You Already Know,You Already Know,57,0.496,0.117,-12.884,0.0301,0.933,0.0,0.126,0.318,0.3207764245681508,acoustic
7bhHLZxkRekrNPPkEdDTbn,Ben Woodward,Believer (Remix),Believer (Remix),42,0.585,0.724,-6.513,0.0745,0.315,0.0681,0.0448,0.333,0.7703597784461648,acoustic
5rwq6R0Uq0BngM3rdmCeNg,Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67,0.582,0.253,-11.43,0.0259,0.827,2.95e-05,0.091,0.294,0.3705685124007692,acoustic
2lxBZVbkiCXC1soks2RXwV,Ben Rector,Magic,Love Like This,61,0.637,0.14,-11.472,0.0407,0.903,0.0,0.107,0.392,0.5743470900514439,acoustic
38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come On Get Higher,71,0.672,0.623,-5.699,0.0297,0.241,0.0,0.0848,0.617,0.3780960833620959,acoustic
6XrNrp7UtGgyZcHJ0ckL0w,Rachael Yamagata,Something In the Rain (Music from the Original TV Series),"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",49,0.422,0.272,-10.772,0.0353,0.496,1.07e-05,0.0704,0.113,0.5892748549545552,acoustic
72R0X0h8YaxYNpegeoOl0M,Parachute,The Way It Was,Kiss Me Slowly,61,0.47,0.801,-6.426,0.0352,0.0758,3.53e-05,0.218,0.431,0.7146261689923245,acoustic
6R6ux6KaKrhAg2EIB2krdU,Parachute,Wide Awake,Without You,61,0.564,0.864,-5.121,0.0341,0.0761,0.0,0.182,0.534,0.39439212399125617,acoustic
2D9w6sabdMCLSheW5aegwO,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),Absolutely Zero,20,0.521,0.495,-7.756,0.027,0.128,0.0,0.296,0.116,0.5549570205282448,acoustic
